annotation_id,annotator,created_at,id,label,lead_time,text,updated_at
1,1,2026-02-23T09:48:50.902945Z,1,"[{""start"":314,""end"":322,""text"":""21000000"",""labels"":[""PRICE""]},{""start"":325,""end"":344,""text"":""Thanh_Xuân , Hà_Nội"",""labels"":[""LOCATION""]},{""start"":0,""end"":6,""text"":""Laptop"",""labels"":[""PROUCT_TYPE""]},{""start"":7,""end"":29,""text"":""Acer_Nitro_V ANV 15-52"",""labels"":[""PROUCT_NAME""]}]",183.049,"Laptop_Acer_Nitro_V ANV 15-52 - Bảo_hành chính hãng đến tháng 7/2026 Chip_Intel_Core i 5-13420 H Ram 16G Ssd_NVMe 512G Màn 15.6 FHD ( 1920 x 1080 ) IPS , tần_số quét 180 Hz , phủ màu 100 sRGB , độ sáng 300 nits chống chói GPU : NVIDIA GeForce_RTX 5050-8 G Pin : 76 Wh ( 4 - cell ) Máy đẹp như new , full chức_năng 21000000 . Thanh_Xuân , Hà_Nội",2026-02-23T10:02:00.478132Z
2,1,2026-02-23T09:52:41.428548Z,2,"[{""start"":447,""end"":534,""text"":""D \/ C : 28 đường 18 KDC Bình_Hưng , gần bến_xe Q 8.4 2\/1 8 Nguyễn_Giản_Thanh P15 Q 10 ."",""labels"":[""LOCATION""]},{""start"":0,""end"":6,""text"":""Laptop"",""labels"":[""PROUCT_TYPE""]},{""start"":7,""end"":35,""text"":""Xiaomi_Redmibook_Pro 15 2022"",""labels"":[""PROUCT_NAME""]},{""start"":415,""end"":423,""text"":""10500000"",""labels"":[""PRICE""]}]",63.903,"Laptop_Xiaomi_Redmibook_Pro 15 2022 màu xám : - Cấu_hình : CPU Ryzen 7-6800 H / Ram 16Gb / SSD 512Gb / Màn_hình 15.6 3200 tần_số quét 90 Hz / Win 11 . Máy mới 99 , nguyên zin , kèm Sạc cáp . Giá : 12300000 . Huawei_MateBook_E 2022 màu xanh : Cấu_hình : Intel i 5-1130 G 7 / Ram 8 Gb / SSD 256 Gb / Màn_hình cảm_ứng OLED 2000 12.6 / Iris_Xe_Graphics / Win 11 . Máy đẹp 99 , nguyên zin , kèm Bàn_phím Sạc cáp . Giá : 10500000 . LH em ợ : 0938299626 D / C : 28 đường 18 KDC Bình_Hưng , gần bến_xe Q 8.4 2/1 8 Nguyễn_Giản_Thanh P15 Q 10 .",2026-02-23T10:04:56.060511Z
3,1,2026-02-23T09:53:17.911027Z,3,"[{""start"":8,""end"":24,""text"":""Surface laptop 3"",""labels"":[""PROUCT_NAME""]},{""start"":170,""end"":181,""text"":""5500000 vnd"",""labels"":[""PRICE""]},{""start"":239,""end"":241,""text"":""HN"",""labels"":[""LOCATION""]}]",43.649,"Em pass Surface laptop 3 i 5-103 5G 7 RAM 8Gb SSD 256Gb 13.5 Full chức_năng , cảm_ứng mượt , pin 2-3 tiếng , ngoại_hình mới vì ít dùng , sạc nguyên zin , phim Nhat_Em để 5500000 vnd co fix mạnh cho ae thiện_chí ( tặng kèm giá đỡ ) Gdtt kv HN",2026-02-23T10:02:43.761901Z
4,1,2026-02-23T09:53:41.961234Z,4,"[{""start"":0,""end"":13,""text"":""SURFACE PRO 8"",""labels"":[""PROUCT_NAME""]},{""start"":43,""end"":54,""text"":""1000000 vnd"",""labels"":[""PRICE""]},{""start"":123,""end"":132,""text"":""Ngã_Tư_Sở"",""labels"":[""LOCATION""]}]",30.692,SURFACE PRO 8 ( i 5/8 / 256 ) Giá chỉ từ : 1000000 vnd Giao hàng hoả_tốc Hà_Nội - tỉnh lân_cận bằng xe_khách Xem máy tại : Ngã_Tư_Sở_Hotline : 097.502.4502,2026-02-23T10:02:53.697376Z
5,1,2026-02-23T09:54:50.459950Z,5,"[{""start"":303,""end"":311,""text"":""10000000"",""labels"":[""PRICE""]},{""start"":329,""end"":331,""text"":""HN"",""labels"":[""LOCATION""]},{""start"":0,""end"":6,""text"":""Laptop"",""labels"":[""PROUCT_TYPE""]},{""start"":7,""end"":47,""text"":""Asus_Vivobook_Pro 15 OLED M6500QC Gaming"",""labels"":[""PROUCT_NAME""]}]",88.495,"Laptop_Asus_Vivobook_Pro 15 OLED M6500QC Gaming - chạy tốt giải_trí đồ_hoạ . Chip_AMD_Ryzen 5 5600H Ram 16GB SSD 512GB VGA Nvidia RTX3050 4GB Man hình 15.6 2800 ( 2880 X 1620 ) , OLED , 100 DCI-P 3 , tần_số quét 120Hz Ngoại_hình đẹp đẹp 98 , pin trâu_bò 3-5 tiềng , máy full chức_năng , zin 100 Cần bay 10000000 ( không fix ) kv HN",2026-02-23T10:03:17.517464Z
6,1,2026-02-23T09:55:51.009805Z,6,"[{""start"":0,""end"":7,""text"":""3000000"",""labels"":[""PRICE""]},{""start"":123,""end"":126,""text"":"" Hn"",""labels"":[""LOCATION""]},{""start"":19,""end"":33,""text"":"" hp spectre 13"",""labels"":[""PROUCT_NAME""]}]",73.575,"3000000 có ngay con hp spectre 13 i5 ram 8g ssd 256g : pin chạy 3,5 tiếng , đẹp , zin , máy ko chuẩn cho luôn máy ( máy tại Hn )",2026-02-23T10:03:34.042627Z
7,1,2026-02-23T10:04:09.930526Z,7,"[{""start"":34,""end"":40,""text"":""Laptop"",""labels"":[""PROUCT_TYPE""]},{""start"":41,""end"":53,""text"":""HP 1 5s - FQ"",""labels"":[""PROUCT_NAME""]},{""start"":11,""end"":22,""text"":""3000000 vnd"",""labels"":[""PRICE""]},{""start"":161,""end"":168,""text"":""Hà_Nội "",""labels"":[""LOCATION""]}]",28.411,"Mở bát chỉ 3000000 vnd có ngay em Laptop_HP 1 5s - FQ màn_hình 15,6 in date 2020-2021 Bàn_phím full size Chip core i3 Ram 8G Ssd 256G Màu bạc trẻ trungg Máy sẵn Hà_Nội , có ship",2026-02-23T10:04:09.930526Z
8,1,2026-02-23T10:04:39.799261Z,8,"[{""start"":0,""end"":11,""text"":""Lenovo X395"",""labels"":[""PROUCT_NAME""]},{""start"":135,""end"":142,""text"":""3700000"",""labels"":[""PRICE""]},{""start"":202,""end"":208,""text"":""Hà_Nội"",""labels"":[""LOCATION""]}]",27.506,"Lenovo X395 AMD Ryzen 5-3500 U Ram 8G / SSD 128G Màn 14in Full_HD , Pin 2h Máy full chức_năng Làm văn_phòng , giải_trí , học_tập Giá : 3700000 , phụ_kiện sạc kèm chuột Hà_Nội : 0367510658 Giao_dịch tại Hà_Nội",2026-02-23T10:04:39.799261Z
9,1,2026-02-23T10:05:38.879429Z,9,"[{""start"":19,""end"":26,""text"":"" Laptop"",""labels"":[""PROUCT_TYPE""]},{""start"":0,""end"":17,""text"":""NEC Versapro VB-9"",""labels"":[""PROUCT_NAME""]},{""start"":444,""end"":451,""text"":""4200000"",""labels"":[""PRICE""]},{""start"":509,""end"":517,""text"":""Q6 , HCM"",""labels"":[""LOCATION""]}]",22.376,"NEC Versapro VB-9 - Laptop nội_địa Nhật , linh_kiện chung Thinkpad - CPU 15-10210 U / Ram 8gb / SSD 256gb / Màn_hình 13.3 FHD IPS Pin 4 2/4 5wh sử_dụng thực_tế trên 4h Hình_thức máy 99 / Màn_hình sáng rõ , hiển_thị tốt / Thiết_kế tương_đồng Thinkpad X13 , linh_kiện có_thể thay_thế qua_lại / Máy nguyên zin nội_địa Nhật , full chức_năng , độ ổn_định cao - Phù_hợp nhu_cầu làm_việc văn_phòng , học_tập , di_chuyển nhiều , ưu_tiên máy bền và nhẹ 4200000 kèm sạc Ship_COD toàn_quốc có cọc 0765569588 ( Tuấn_JP ) Q6 , HCM",2026-02-23T10:05:38.879429Z
10,1,2026-02-23T10:05:56.425842Z,10,"[{""start"":0,""end"":16,""text"":""DELL xps 13-9360"",""labels"":[""PROUCT_NAME""]},{""start"":63,""end"":70,""text"":""6500000"",""labels"":[""PRICE""]},{""start"":71,""end"":77,""text"":""Hà_Nội"",""labels"":[""LOCATION""]}]",16.107,DELL xps 13-9360 vỏ nhôm Chip i 7-7560 u Ram 8GB SSD 256GB Giá 6500000 Hà_Nội,2026-02-23T10:05:56.425842Z
