"annotation_id","annotator","created_at","id","label","lead_time","text","updated_at"
51,"1","2026-02-23T14:21:43.944258Z",1,"[{""start"":22,""end"":33,""text"":""Samsung S21"",""labels"":[""PROUCT_NAME""]},{""start"":4,""end"":11,""text"":""5900000"",""labels"":[""PRICE""]},{""start"":103,""end"":119,""text"":""Long_Biên Hà_Nội"",""labels"":[""LOCATION""]}]",41.489,"giá 5900000 mình pass Samsung S21 5G 8/128 ạ , máy zin , màn đẹp , cam nét , pin ổn , sóng khoẻ . gdtt Long_Biên Hà_Nội","2026-02-23T14:21:43.944289Z"
52,"1","2026-02-23T14:22:30.968350Z",2,"[{""start"":64,""end"":74,""text"":""điện_thoại"",""labels"":[""PROUCT_TYPE""]},{""start"":44,""end"":56,""text"":""máy_fax mini"",""labels"":[""PROUCT_NAME""]},{""start"":19,""end"":25,""text"":""350000"",""labels"":[""PRICE""]},{""start"":5,""end"":14,""text"":""Hải_Dương"",""labels"":[""LOCATION""]}]",44.518,"gdtt Hải_Dương giá 350000 vnd mình thanh_lý máy_fax mini ( kiêm điện_thoại bàn ) ạ , gọi nghe rõ , bấm số nhạy , dây đủ . ai văn_phòng cần thì lấy .","2026-02-23T14:22:30.968374Z"
53,"1","2026-02-23T14:23:24.393683Z",3,"[{""start"":9,""end"":35,""text"":""phông_nền chụp ảnh 1.6 x2m"",""labels"":[""PROUCT_NAME""]},{""start"":121,""end"":127,""text"":""190000"",""labels"":[""PRICE""]},{""start"":165,""end"":175,""text"":""Quận 7 HCM"",""labels"":[""LOCATION""]}]",45.846,"mình bán phông_nền chụp ảnh 1.6 x2m ạ , màu trơn dễ chụp sản_phẩm , không rách , treo lên chụp shop online rất hợp . giá 190000 do đổi màu phông nên pass lại . gdtt Quận 7 HCM","2026-02-23T14:23:24.393706Z"
54,"1","2026-02-23T14:24:25.832973Z",4,"[{""start"":31,""end"":58,""text"":""máy đóng gáy lò_xo thủ_công"",""labels"":[""PROUCT_NAME""]},{""start"":152,""end"":159,""text"":""420000 "",""labels"":[""PRICE""]},{""start"":5,""end"":20,""text"":""Cầu_Giấy Hà_Nội"",""labels"":[""LOCATION""]}]",58.475,"gdtt Cầu_Giấy Hà_Nội mình pass máy đóng gáy lò_xo thủ_công ạ , đóng tài_liệu học_tập , luận_văn mini tại nhà tiện , bấm lỗ đều , tay kéo còn chắc . giá 420000 máy hoạt_động ổn , kèm ít lò_xo còn dư .","2026-02-23T14:24:25.832996Z"
55,"1","2026-02-23T14:25:26.537184Z",5,"[{""start"":25,""end"":41,""text"":"" iPhone 13 128gb"",""labels"":[""PROUCT_NAME""]},{""start"":4,""end"":12,""text"":""8500000 "",""labels"":[""PRICE""]},{""start"":106,""end"":120,""text"":""Bình_Thạnh HCM"",""labels"":[""LOCATION""]}]",57.775,"giá 8500000 mình thanh_lý iPhone 13 128gb ạ , pin 88 , full chức_năng , màn đẹp , máy dùng giữ_gìn . gdtt Bình_Thạnh HCM","2026-02-23T14:25:26.537217Z"
56,"1","2026-02-23T14:25:55.125509Z",6,"[{""start"":7,""end"":21,""text"":""iPhone 12 64gb"",""labels"":[""PROUCT_NAME""]},{""start"":77,""end"":85,""text"":""6200000 "",""labels"":[""PRICE""]},{""start"":57,""end"":72,""text"":""Cầu_Giấy Hà_Nội"",""labels"":[""LOCATION""]}]",23.54,"em bán iPhone 12 64gb ạ , ngoại_hình xước dăm nhẹ . gdtt Cầu_Giấy Hà_Nội giá 6200000 pin 86 , máy zin , cam chụp nét , face id ok .","2026-02-23T14:25:55.125538Z"
57,"1","2026-02-23T14:26:39.364906Z",7,"[{""start"":9,""end"":33,""text"":""giá đỡ điện_thoại xe_máy"",""labels"":[""PROUCT_NAME""]},{""start"":130,""end"":137,""text"":""120000 "",""labels"":[""PRICE""]},{""start"":176,""end"":190,""text"":""Hà_Đông Hà_Nội"",""labels"":[""LOCATION""]}]",40.272,"mình bán giá đỡ điện_thoại xe_máy ( kẹp gương ) ạ , kẹp chắc , chống rung ổn , đi đường không bị tuột , xoay ngang_dọc tiện . giá 120000 dùng giữ_gìn nên lò_xo còn khoẻ . gdtt Hà_Đông Hà_Nội","2026-02-23T14:26:39.364931Z"
58,"1","2026-02-23T14:27:06.532146Z",8,"[{""start"":25,""end"":44,""text"":"" iPhone 8 Plus 64gb"",""labels"":[""PROUCT_NAME""]},{""start"":4,""end"":12,""text"":""1900000 "",""labels"":[""PRICE""]},{""start"":111,""end"":120,""text"":""Hải_Phòng"",""labels"":[""LOCATION""]}]",24.341,"giá 1900000 chị mình pass iPhone 8 Plus 64gb ạ , vân tay ok , loa mic ổn , pin 80 , ngoại_hình xước nhẹ . gdtt Hải_Phòng","2026-02-23T14:27:06.532187Z"
59,"1","2026-02-23T14:27:33.979951Z",9,"[{""start"":13,""end"":20,""text"":""máy_ảnh"",""labels"":[""PROUCT_TYPE""]},{""start"":21,""end"":37,""text"":""Canon 700D + kit"",""labels"":[""PROUCT_NAME""]},{""start"":118,""end"":126,""text"":""3800000 "",""labels"":[""PRICE""]},{""start"":5,""end"":12,""text"":""Hà_Đông"",""labels"":[""LOCATION""]}]",24.662,"gdtt Hà_Đông máy_ảnh Canon 700D + kit ạ , chụp bình_thường , lấy nét ổn , màn lật ok , phù_hợp bạn mới tập chụp . giá 3800000 tặng thẻ 16gb ( nếu cần ) , kèm sạc pin đầy_đủ .","2026-02-23T14:27:33.979994Z"
60,"1","2026-02-23T14:28:12.890576Z",10,"[{""start"":9,""end"":25,""text"":""OPPO Reno6 8\/128"",""labels"":[""PROUCT_NAME""]},{""start"":74,""end"":82,""text"":""2700000 "",""labels"":[""PRICE""]},{""start"":108,""end"":116,""text"":""Bắc_Ninh"",""labels"":[""LOCATION""]}]",19.309,"mình bán OPPO Reno6 8/128 ạ , dùng mượt , màn đẹp , cam ok , pin ổn . giá 2700000 ngoại_hình còn khá . gdtt Bắc_Ninh","2026-02-23T14:28:12.890611Z"
61,"1","2026-02-23T14:28:44.678527Z",11,"[{""start"":0,""end"":20,""text"":""iPad gen 6 32gb wifi"",""labels"":[""PROUCT_NAME""]},{""start"":66,""end"":74,""text"":""2400000 "",""labels"":[""PRICE""]},{""start"":176,""end"":179,""text"":""Huế"",""labels"":[""LOCATION""]}]",27.073,"iPad gen 6 32gb wifi ạ , reset sạch , ai tới test thoải_mái . giá 2400000 màn đẹp , cảm_ứng mượt , pin ổn , dùng học + xem phim ok . vỏ xước nhẹ do dùng , không cấn móp . gdtt Huế","2026-02-23T14:28:44.678562Z"
62,"1","2026-02-23T14:29:11.208613Z",12,"[{""start"":10,""end"":24,""text"":""iPhone XR 64gb"",""labels"":[""PROUCT_NAME""]},{""start"":114,""end"":121,""text"":""2600000"",""labels"":[""PRICE""]},{""start"":98,""end"":109,""text"":""Quận 10 HCM"",""labels"":[""LOCATION""]}]",24.213,"mình pass iPhone XR 64gb ạ , máy zin , face id ok , pin 84 , màn đẹp không ám , loa mic rõ . gdtt Quận 10 HCM giá 2600000","2026-02-23T14:29:11.208652Z"
63,"1","2026-02-23T14:29:40.389004Z",13,"[{""start"":23,""end"":45,""text"":""chân tripod điện_thoại"",""labels"":[""PROUCT_NAME""]},{""start"":4,""end"":11,""text"":""120000 "",""labels"":[""PRICE""]},{""start"":147,""end"":155,""text"":""Hưng_Yên"",""labels"":[""LOCATION""]}]",22.934,"giá 120000 em thanh_lý chân tripod điện_thoại ạ , dựng quay video chụp ảnh ổn , chân đứng vững , kẹp điện_thoại chắc , gấp gọn mang đi tiện . gdtt Hưng_Yên dùng ít nên còn mới .","2026-02-23T14:29:40.389042Z"
64,"1","2026-02-23T14:30:05.826821Z",14,"[{""start"":26,""end"":32,""text"":""máy_in"",""labels"":[""PROUCT_TYPE""]},{""start"":33,""end"":40,""text"":""HP 107a"",""labels"":[""PROUCT_NAME""]},{""start"":136,""end"":143,""text"":""850000 "",""labels"":[""PRICE""]},{""start"":5,""end"":13,""text"":""Gia_Lâm "",""labels"":[""LOCATION""]}]",21.995,"gdtt Gia_Lâm nhà mình bán máy_in HP 107a ạ , in đen_trắng , kéo giấy ổn , mới đổ mực 1 lần , in tài_liệu học_tập / văn_phòng ngon . giá 850000 kèm dây nguồn + cáp , ai qua test in thử ok rồi lấy .","2026-02-23T14:30:05.826860Z"
65,"1","2026-02-23T14:30:56.309123Z",15,"[{""start"":14,""end"":47,""text"":""bộ đèn flash mini gắn điện_thoại "",""labels"":[""PROUCT_NAME""]},{""start"":134,""end"":141,""text"":""150000 "",""labels"":[""PRICE""]},{""start"":173,""end"":187,""text"":""Hà_Nội Đống_Đa"",""labels"":[""LOCATION""]}]",46.4,"chị mình pass bộ đèn flash mini gắn điện_thoại ạ , sáng mạnh , chỉnh được mức sáng , chụp tối nhìn da đẹp hơn , pin sạc dùng ok . giá 150000 đồ còn mới , kèm cáp sạc . gdtt Hà_Nội Đống_Đa","2026-02-23T14:30:56.309146Z"
